Symbol,Market_Cap,Orgname,State
AAL,15480154360,American Airlines Group,Texas
AAPL,2.13E+12,Apple Inc,California
ABBV,1.85E+11,AbbVie Inc,Illinois
ABC,23121559643,AmerisourceBergen Corp,Pennsylvania
ABNB,1.19E+11,Airbnb Inc,California
ABT,2.08E+11,Abbott Laboratories,Illinois
AC,807557811,Associated Builders & Contractors,Connecticut
ACGL,15104984022,Capital Group,Pembroke
ACGLO,0,Capital Group,Pembroke
ACGLP,0,Capital Group,Pembroke
ACHC,5247124018,Acadia Healthcare,Tennessee
ADBE,2.15E+11,Adobe Inc,California
ADP,80386430626,Automatic Data Processing Inc,New Jersey
AEE,19916244804,Ameren Corp,Missouri
AEP,41486166669,American Electric Power,Ohio
AEPPL,0,American Electric Power,Ohio
AEPPZ,0,American Electric Power,Ohio
AFG,10068972091,American Financial Group,Ohio
AFGB,0,American Financial Group,Ohio
AFGC,26568357,American Financial Group,Ohio
AFGD,0,American Financial Group,Ohio
AFGE,0,American Financial Group,Ohio
AFL,35200571683,AFLAC Inc,Georgia
AFT,232817262,Apollo,New York
AHT,238519518,Ashford Hospitality Trust,None
AHT^D,0,Ashford Hospitality Trust,None
AHT^F,0,Ashford Hospitality Trust,None
AHT^G,0,Ashford Hospitality Trust,None
AHT^H,0,Ashford Hospitality Trust,None
AHT^I,0,Ashford Hospitality Trust,None
AIF,214074817,Apollo,New York
AINV,965183213,Apollo,New York
AIR,1530981536,AAR Corp,Illinois
ALE,3673440595,Allete Inc,Minnesota
ALK,8725662055,Alaska Air Group,Washington
ALLY,17114767064,Ally Financial,Michigan
ALSN,4764377285,Allison Transmission,Indiana
AMED,8645737570,Amedisys Inc,Louisiana
AMEH,1130394199,Apollo,California
AMG,6266756769,Affiliated Managers Group,Florida
AMGN,1.4E+11,Amgen Inc,California
AMZN,1.56E+12,Amazon.com,Washington
APEN,162658882,Apollo,California
APO,11162939036,Apollo Global Management,New York
APO^A,0,Apollo Global Management,None
APO^B,0,Apollo Global Management,None
APSG,1042759350,Apollo,None
APXT,582399200,Apex,None
APXTU,0,Apex,None
APXTW,0,Apex,None
AR,2984788242,Antero Resources,Colorado
ARES,8162610387,Ares Management,California
ARES^A,0,Ares Management,None
ARI,2052981485,Apollo,New York
ARLP,736460318,Alliance Resource Partners,Oklahoma
ARW,8096688877,Electronics Inc,Colorado
ATGE,2019686438,Adtalem Global Education,Illinois
AZN,1.29E+11,AstraZeneca PLC,Cambridgeshire
AZO,28825255690,AutoZone Inc,Tennessee
BA,1.49E+11,Boeing Co,Illinois
BAC,3.23E+11,Bank of America,North Carolina
BAC^A,0,Bank of America,None
BAC^B,0,Bank of America,None
BAC^E,0,Bank of America,None
BAC^K,0,Bank of America,None
BAC^L,0,Bank of America,None
BAC^M,0,Bank of America,None
BAC^N,0,Bank of America,None
BAC^O,0,Bank of America,None
BAC^P,0,Bank of America,None
BAM,66997632987,Brookfield Asset Management,Ontario
BATRA,1657453202,Liberty Media Corp,Colorado
BATRK,1610457192,Liberty Media Corp,Colorado
BBY,28626353389,Best Buy,Minnesota
BC,7915525588,Brunswick Corp,Illinois
BC^A,0,Brunswick Corp,None
BC^B,0,Brunswick Corp,None
BC^C,0,Brunswick Corp,None
BCS,43514658819,Barclays,London
BCSF,988448277,Bain Capital,Massachusetts
BEN,15035761622,Franklin Resources,California
BHE,1140659071,Electronics Inc,Arizona
BKR,24230818322,Baker,Texas
BKT,385666301,BlackRock Inc,Delaware
BLK,1.1E+11,BlackRock Inc,New York
BLL,27408106565,Ball Corp,Colorado
BML^G,0,Bank of America,None
BML^H,0,Bank of America,None
BML^J,0,Bank of America,None
BML^L,0,Bank of America,None
BMY,1.39E+11,Bristol-Myers Squibb,New York
BRK/A,0,Berkshire Hathaway,None
BRK/B,0,Berkshire Hathaway,None
BWXT,6045855389,BWX Technologies,Virginia
BX,52090380070,Blackstone Group,None
BXS,3479190610,BancorpSouth Bank,Mississippi
BXS^A,0,BancorpSouth Bank,None
CAF,487042024,Morgan Stanley,New York
CAH,16985731670,Cardinal Health,None
CAT,1.25E+11,Caterpillar Inc,Illinois
CBOE,11593368000,Cboe Global Markets,Illinois
CBRE,26047374505,CBRE Group,California
CCAP,507716664,Crescent Capital,California
CCBG,454013598,City Bank,Florida
CCIV,7640266500,Churchill Capital,None
CCL,32424159109,Carnival Corp,Florida
CCV,643750000,Churchill Capital,None
CCX,865950000,Churchill Capital,None
CG,13025469419,Carlyle Group,None
CHSCL,0,CHS Inc,Minnesota
CHSCM,0,CHS Inc,Minnesota
CHSCN,0,CHS Inc,Minnesota
CHSCO,0,CHS Inc,Minnesota
CHSCP,0,CHS Inc,Minnesota
CHTR,1.31E+11,Charter Communications,Connecticut
CI,84242211300,Cigna Corp,Connecticut
CLF,8022079773,Cleveland-Cliffs,Ohio
CLNE,2872780317,Energy Fuels,California
CLX,23792161375,Clorox Co,California
CMCSA,2.61E+11,Comcast Corp,Pennsylvania
CME,74422062998,CME Group,Illinois
CMI,39341886681,Cummins Inc,Indiana
CMS,16836729238,CMS Energy,Michigan
CMS^B,0,CMS Energy,None
CMSA,0,CMS Energy,Michigan
CMSC,0,CMS Energy,Michigan
CMSD,0,CMS Energy,Michigan
CNC,36605466001,Centene Corp,Missouri
CNHI,20634146260,CNH Industrial,London
CNK,2893440084,Cinemark Holdings,Texas
CNS,3235700450,Cohen,New York
COF,58832818761,Capital One Financial,Virginia
COF^G,0,Capital One Financial,None
COF^H,0,Capital One Financial,None
COF^I,0,Capital One Financial,None
COF^J,0,Capital One Financial,None
COF^K,0,Capital One Financial,None
COHN,37863409,Cohen & Co,None
COKE,2905843590,Coca-Cola Co,North Carolina
COLM,6904155024,Columbia Sportswear,Oregon
COP,75506812494,ConocoPhillips,Texas
CPRT,25610851082,Copart Inc,Texas
CPT,10655820921,Camden Property Trust,Texas
CRH,36398715200,CRH PLC,Dublin
CRHC,1053630000,Robbins,None
CSCO,2.09E+11,Cisco Systems,None
CSL,8403770923,Carlisle Companies,Arizona
CSX,69692962301,CSX Corp,Florida
CTAS,36142910868,Cintas Corp,None
CUB,2220799881,Cubic Corp,California
CVS,95794477344,CVS Health,Rhode Island
CVX,2.06E+11,Chevron Corp,None
CZR,19309400906,Caesars Entertainment,None
D,59335985511,Dominion Energy,Virginia
DAL,31626548717,Delta Air Lines,Georgia
DCUE,0,Dominion Energy,Virginia
DE,1.18E+11,Deere & Co,Illinois
DELL,67144982050,Dell Technologies,Texas
DFS,29893448518,Discover Financial Services,Illinois
DHR,1.53E+11,Danaher Corp,Washington Dc
DHR^A,0,Danaher Corp,None
DHR^B,0,Danaher Corp,None
DIS,3.49E+11,Walt Disney Co,None
DISCA,35034455279,Discovery Inc,Maryland
DISCB,39444829743,Discovery Inc,Maryland
DISCK,29600679004,Discovery Inc,Maryland
DISH,19915540178,DISH Network,Colorado
DOW,48312927544,Dow Inc,Michigan
DRUA,0,Dominion Energy,Virginia
DTB,0,DTE Energy,Michigan
DTE,25213832152,DTE Energy,Michigan
DTJ,0,DTE Energy,Michigan
DTP,0,DTE Energy,Michigan
DTW,0,DTE Energy,Michigan
DTY,0,DTE Energy,Michigan
DUK,71401159946,Duke Energy,North Carolina
DUK^A,0,Duke Energy,None
DUKB,0,Duke Energy,North Carolina
DUKH,0,Duke Energy,North Carolina
DVA,11714412000,DaVita Inc,Colorado
DVN,15619285500,Devon Energy,Oklahoma
EAD,506076646,Wells Fargo,None
EBAY,38907888957,eBay Inc,California
EBS,4859361000,Emergent Biosolutions,Maryland
ECL,60019915261,Ecolab Inc,Minnesota
ECPG,1269495545,Capital Group,California
EDD,393578604,Morgan Stanley,New York
EHTH,1605875822,eHealth Inc,California
EIX,22733342488,Edison International,California
EL,1.05E+11,Estee Lauder Companies,New York
EMR,53486644962,Emerson Electric,Missouri
EOD,227414216,Wells Fargo,California
EPD,50635134246,Enterprise Products Partners,Texas
EPZM,904361164,Epizyme,Massachusetts
ERC,347431287,Wells Fargo,California
ERH,119972966,Wells Fargo,California
ES,28397248671,Eversource Energy,Massachusetts
ET,21870955893,Energy Transfer LP,Texas
ETN,54253068000,Eaton Corp,3None Pembroke Road
ETR,19952771502,Entergy Corp,Louisiana
EW,50323730786,Edwards Lifesciences,California
EXAS,21148481771,Exact Sciences Corp,Wisconsin
EXC,41919063400,Exelon Corp,Illinois
F,49077203035,Ford Motor Co,Michigan
F^B,0,Ford Motor Co,None
F^C,0,Ford Motor Co,None
FAST,27373218319,Fastenal Co,Minnesota
FB,7.97E+11,Facebook Inc,California
FCFS,2827939192,FirstCash Inc,Texas
FCX,49696210000,Freeport-McMoRan,Arizona
FDX,69104566011,FedEx Corp,Tennessee
FE,19354699335,FirstEnergy Corp,Ohio
FEIM,109474618,Electronics Inc,New York
FMS,21163260948,Fresenius Medical Care,Hessen
FOF,360511939,Cohen,New York
FTS,19862340000,Fortis Inc,Newfoundland And Labrador
FWONA,9697069125,Liberty Media Corp,Colorado
FWONK,10983675237,Liberty Media Corp,Colorado
GBX,1565708616,Greenbrier Companies,Oregon
GD,50253764398,General Dynamics,Virginia
GE,1.18E+11,General Electric,Massachusetts
GER,165992219,Goldman Sachs,New York
GH,14491599361,Guardant Health,None
GILD,80202058182,Gilead Sciences,California
GIS,36343791385,General Mills,Minnesota
GJS,0,Goldman Sachs,None
GLW,31568394720,Corning Inc,New York
GM,83054214945,General Motors,Michigan
GNW,1752577891,Genworth Financial,Virginia
GOLD,36692948463,Barrick Gold Corp,None
GOOG,1.4E+12,Alphabet Inc,California
GOOGL,1.39E+12,Alphabet Inc,California
GPN,63781432134,Global Payments,Georgia
GS,1.18E+11,Goldman Sachs,New York
GS^A,0,Goldman Sachs,None
GS^C,0,Goldman Sachs,None
GS^D,0,Goldman Sachs,None
GS^J,0,Goldman Sachs,None
GS^K,0,Goldman Sachs,None
GS^N,0,Goldman Sachs,None
GSBD,2038954872,Goldman Sachs,New York
GSEE,0,Goldman Sachs,None
GSID,0,Goldman Sachs,None
GSUS,0,Goldman Sachs,None
GTIP,28260000,Goldman Sachs,None
GTN,1880621554,Gray Television,Georgia
HAL,20154191337,Halliburton Co,Texas
HALL,67644850,Hall,Texas
HBAN,16276378481,Huntington Bancshares,Ohio
HBANN,0,Huntington Bancshares,Ohio
HBANO,0,Huntington Bancshares,Ohio
HBANP,0,Huntington Bancshares,Ohio
HD,3.04E+11,Home Depot,Georgia
HE,4454589859,Hawaiian Electric Industries,Hawaii
HES,21212770812,Hess Corp,New York
HGH,0,Hartford Financial Services,Connecticut
HIG,20166774735,Hartford Financial Services,Connecticut
HIG^G,0,Hartford Financial Services,None
HII,7808597977,Huntington Ingalls Industries,Virginia
HON,1.48E+11,Honeywell International,North Carolina
HRB,3797356523,H&R Block,Missouri
HSIC,9505204085,Henry Schein Inc,New York
HTH,3079192640,Hilltop Holdings,Texas
HUM,52404088253,Humana Inc,Kentucky
HUN,6170332732,Huntsman Corp,Utah
ICE,64349109929,Intercontinental Exchange Inc,Georgia
IHRT,2588816610,iHeartMedia Inc,None
IIF,265687670,Morgan Stanley,New York
IIIN,710850555,Insteel Industries,North Carolina
IIVI,7623533432,II-VI Inc,Pennsylvania
IIVIP,0,II-VI Inc,Pennsylvania
INFO,37830903440,IHS Markit,London
INTC,2.61E+11,Intel Corp,California
INTU,1.07E+11,Intuit Inc,California
IP,20929555309,International Paper,Tennessee
J,16239956339,Jacobs Engineering Group,Texas
JEF,8279599844,Jeffer,New York
JNJ,4.23E+11,Johnson & Johnson,New Jersey
JPM^J,0,JPMorgan Chase & Co,None
KE,716267651,Electronics Inc,Indiana
KEX,4067225672,Kirby Corp,Texas
KEY,19696012040,KeyCorp,Ohio
KEY^I,0,KeyCorp,None
KEY^J,0,KeyCorp,None
KEY^K,0,KeyCorp,None
KKR,27867618039,KKR & Co,New York
KKR^A,0,KKR & Co,None
KKR^B,0,KKR & Co,None
KKR^C,0,KKR & Co,None
KO,2.21E+11,Coca-Cola Co,Georgia
KSU,19953821115,Kansas City Southern,Missouri
KSU^,0,Kansas City Southern,None
KTOS,3253252580,Kratos Defense & Security Solutions,California
KW,2907749216,Wilson,California
LB,16589175783,L Brands,Ohio
LHCG,6158683332,LHC Group,Louisiana
LHX,39284648769,L3Harris Technologies,Florida
LIN,1.41E+11,Linde plc,Surrey
LMT,96983483886,Lockheed Martin,Maryland
LOW,1.28E+11,Lowe's Companies,North Carolina
LSXMA,15746368022,Liberty Media Corp,Colorado
LSXMK,15729465523,Liberty Media Corp,Colorado
LUMN,15262647824,Lumen Technologies,Louisiana
LYFT,21337737493,Lyft Inc,California
LYV,18784758096,Live Nation Entertainment,California
MAC,2083177697,Macerich Co,California
MAR,48924897962,Marriott International,Maryland
MASI,12649962690,Masimo Corp,California
MATX,3200737677,Matson Inc,Hawaii
MCBS,415406404,City Bank,Georgia
MCD,1.66E+11,McDonald's Corp,Illinois
MCK,29668809698,McKesson Corp,Texas
MD,2354019172,Mednax Inc,None
MDP,1565720038,Meredith Corp,Iowa
MEI,1774316959,Electronics Inc,Illinois
MER^K,0,Bank of America,None
MET,52701349639,MetLife Inc,New York
MET^A,0,MetLife Inc,None
MET^E,0,MetLife Inc,None
MET^F,0,MetLife Inc,None
MGM,19818876868,MGM Resorts International,Nevada
MGR,0,Affiliated Managers Group,FL
MGRB,0,Affiliated Managers Group,FL
MGY,2935795086,Magnolia Oil & Gas,None
MO,91651986839,Altria Group,Virginia
MOH,13343480000,Molina Healthcare,California
MPC,35833141807,Marathon Petroleum,Ohio
MPWR,15553111320,Monolithic Power Systems,Washington
MRK,1.94E+11,Merck & Co,New Jersey
MS,1.55E+11,Morgan Stanley,New York
MS^A,0,Morgan Stanley,None
MS^E,0,Morgan Stanley,None
MS^F,0,Morgan Stanley,None
MS^I,0,Morgan Stanley,None
MS^K,0,Morgan Stanley,None
MS^L,0,Morgan Stanley,None
MSD,182053410,Morgan Stanley,New York
MSFT,1.77E+12,Microsoft Corp,Washington
MTH,3356210003,Meritage Homes,Arizona
MTN,12473612428,Vail Resorts,Colorado
MUR,2792423003,Murphy Oil,Texas
NC,155907354,NACCO Industries,None
NEE,1.45E+11,NextEra Energy,None
NEE^K,0,NextEra Energy,None
NEE^N,0,NextEra Energy,None
NEE^O,0,NextEra Energy,None
NEE^P,0,NextEra Energy,None
NEE^Q,0,NextEra Energy,None
NEP,5464275264,NextEra Energy,Florida
NFG,4477036833,National Fuel Gas Co,New York
NI,9298830942,NiSource Inc,None
NI^B,0,NiSource Inc,None
NKE,2.29E+11,Nike Inc,Oregon
NOC,51364266927,Northrop Grumman,Virginia
NS,2037187748,Nustar Energy,Texas
NS^A,0,Nustar Energy,None
NS^B,0,Nustar Energy,None
NS^C,0,Nustar Energy,None
NSC,64494416537,Southern Co,Virginia
NUE,20571125119,Nucor Corp,North Carolina
NVO,1.64E+11,Novo Nordisk,Bagsvaerd
OC,9353137781,Corning Inc,Ohio
ODFL,26437142055,Old Dominion Freight Line,North Carolina
OMC,16343243784,Omnicom Group,New York
ONB,3358179143,Old National Bancorp,Indiana
ORCL,1.92E+11,Oracle Corp,California
OSK,8011914781,Oshkosh Corp,Wisconsin
OXY,26148740934,Occidental Petroleum,Texas
PBI,1547323627,Pitney Bowes Inc,Connecticut
PBI^B,0,Pitney Bowes Inc,None
PCH,3479797776,PotlatchDeltic Corp,Washington
PEG,29772712131,Public Service Enterprise Group,New Jersey
PEGA,9526859013,Pegasystems Inc,Massachusetts
PEP,1.85E+11,PepsiCo Inc,New York
PFE,1.97E+11,Pfizer Inc,New York
PFH,0,Prudential Financial,New Jersey
PG,3.18E+11,Procter & Gamble,Ohio
PLUG,21193229303,Plug Power Inc,New York
PNC,75106749748,PNC Financial Services,Pennsylvania
PNC^P,0,PNC Financial Services,None
PNW,9054206682,Pinnacle West Capital,Arizona
POR,4271907312,Portland General Electric,Oregon
PPL,21758424492,PPL Corp,Pennsylvania
PRS,932605704,Prudential Financial,NJ
PRU,36543850000,Prudential Financial,New Jersey
PSF,333460317,Cohen,New York
PSN,3844666465,Parsons Corp,Virginia
PSX,36631880703,Phillips 66,Texas
PSXP,6779510271,Phillips 66,Texas
PTA,1371334468,Cohen,None
QTWO,6109830374,Q2 Holdings,Texas
RAD,1435419255,Rite Aid Corp,Pennsylvania
REGN,52427137414,Regeneron Pharmaceuticals,New York
RELL,88887511,Richardson,None
RFI,376958602,Cohen,New York
RNP,1126746330,Cohen,New York
RPM,11368459415,M International,Ohio
RQI,1820633520,Cohen,New York
RTX,1.19E+11,Raytheon Technologies,Massachusetts
SAFM,3567727049,Sanderson Farms,Mississippi
SBNY,13576429032,Signature Bank,New York
SBNYP,0,Signature Bank,New York
SBS,4729888293,Paul,Sao Paulo
SCCO,56442079370,Southern Co,Arizona
SCHW,1.23E+11,Charles Schwab Corp,California
SCHW^C,0,Charles Schwab Corp,None
SCHW^D,0,Charles Schwab Corp,None
SEM,4788122450,Select Medical Holdings,None
SFNC,3435008356,Simmons First National Corp,Arkansas
SGEN,26585882451,Seagen Inc,None
SJM,13409380710,Smucker Co,Ohio
SMG,12953197479,Scotts Miracle-Gro,Ohio
SNDR,4390406835,Schneider National,Wisconsin
SNE,1.3E+11,Sony Corp,Tokyo To
SO,64532434985,Southern Co,Georgia
SOJB,0,Southern Co,Georgia
SOJC,0,Southern Co,Georgia
SOJD,0,Southern Co,GA
SOJE,0,Southern Co,GA
SOLN,0,Southern Co,Georgia
SPG,38451090743,Simon Property Group,Indiana
SPG^J,0,Simon Property Group,None
SPR,5303689809,Spirit Aerosystems,None
STT,29476178853,State Street Corp,Massachusetts
STT^D,0,State Street Corp,None
STT^G,0,State Street Corp,None
STZ,45010093247,Constellation Brands,New York
STZ/B,0,Constellation Brands,None
SY,1294050012,Young,None
SYX,1426161069,Systemax Inc,None
T,2.14E+11,AT&T Inc,Texas
T^A,0,AT&T Inc,None
T^C,0,AT&T Inc,None
TAK,61037739798,Takeda Pharmaceutical Co,Tokyo To
TBB,0,AT&T Inc,Texas
TBC,0,AT&T Inc,Texas
TDG,33078045163,Transdigm Group,None
TELL,987728855,Tellurian Inc,Texas
TFC,78474313266,Truist Financial,North Carolina
TFC^H,0,Truist Financial,None
TFC^I,0,Truist Financial,None
TFC^O,0,Truist Financial,None
TFC^R,0,Truist Financial,None
TGT,89067808233,Target Corp,Minnesota
TKR,6332824429,Timken Co,Ohio
TM,2.13E+11,Toyota Motor Corp,Aichi Ken
TRV,39353005811,Travelers Companies,Minnesota
TXT,12255095750,Textron Inc,Rhode Island
UAL,19089149747,United Airlines Holdings,Illinois
UEIC,845912263,Electronics Inc,Arizona
UNP,1.41E+11,Union Pacific Corp,Nebraska
UPS,1.39E+11,United Parcel Service,Georgia
UTF,2434203128,Cohen,New York
UUUU,960814521,Energy Fuels,Colorado
V,4.82E+11,Visa Inc,California
VAR,16199448225,Varian Medical Systems,California
VLO,31696309084,Valero Energy,Texas
VRTX,56187767801,Vertex Pharmaceuticals,Massachusetts
VZ,2.3E+11,Verizon Communications,New York
WDAY,61932213000,Workday Inc,California
WFC,1.62E+11,Wells Fargo,California
WFC^A,0,Wells Fargo,None
WFC^C,0,Wells Fargo,None
WFC^L,0,Wells Fargo,None
WFC^N,0,Wells Fargo,None
WFC^O,0,Wells Fargo,None
WFC^Q,0,Wells Fargo,None
WFC^R,0,Wells Fargo,None
WFC^X,0,Wells Fargo,None
WFC^Y,0,Wells Fargo,None
WFC^Z,0,Wells Fargo,None
WHR,13323882411,Whirlpool Corp,Michigan
WM,51112644589,Waste Management Inc,Texas
WMB,28220626591,Williams Companies,Oklahoma
WMT,3.75E+11,Walmart Inc,Arkansas
WY,26336388960,Weyerhaeuser Co,Washington
XOM,2.49E+11,Exxon Mobil,Texas
ZION,9246895971,Zions Bancorp,Utah
ZIONL,0,Zions Bancorp,Utah
ZIONN,0,Zions Bancorp,Utah
ZIONO,0,Zions Bancorp,Utah
ZIONP,0,Zions Bancorp,Utah
